mileage,make,model,fuel,gear,offerType,price,hp,year,encoded_make,encoded_model,encoded_fuel,encoded_gear,encoded_offerType,encoded_year
2500,Toyota,Aygo,Gasoline,Manual,Demonstration,13990,72.0,2021,70,143,7,1,0,10
1600,Kia,Picanto,Gasoline,Manual,Demonstration,13990,67.0,2021,37,563,7,1,0,10
50,Hyundai,i10,Gasoline,Manual,Pre-registered,13990,84.0,2021,31,829,7,1,3,10
50,Skoda,Fabia,Gasoline,Manual,Pre-registered,14177,95.0,2021,64,333,7,1,3,10
3,Peugeot,108,Gasoline,Manual,Demonstration,14190,72.0,2021,56,1,7,1,0,10
10,Ford,Fiesta,Gasoline,Manual,Pre-registered,14190,75.0,2021,29,334,7,1,3,10
10,Ford,Fiesta,Gasoline,Manual,Pre-registered,14190,75.0,2021,29,334,7,1,3,10
5,Fiat,500,Gasoline,Manual,Pre-registered,14190,69.0,2021,28,54,7,1,3,10
5,Dacia,Sandero,Gasoline,Manual,Pre-registered,14240,91.0,2021,22,675,7,1,3,10
12,Hyundai,i10,Gasoline,Manual,Pre-registered,14290,67.0,2021,31,829,7,1,3,10
10,Peugeot,108,Gasoline,Manual,Demonstration,14290,72.0,2021,56,1,7,1,0,10
50,SEAT,Ateca,Gasoline,Automatic,Pre-registered,26990,150.0,2021,63,133,7,0,3,10
0,Abarth,595C,Gasoline,Manual,Demonstration,27290,179.0,2021,1,74,7,1,0,10
50,Volkswagen,T-Roc,Gasoline,Automatic,Pre-registered,27990,150.0,2021,72,701,7,0,3,10
50,Jeep,Compass,Gasoline,Automatic,Pre-registered,27990,150.0,2021,36,245,7,0,3,10
1057,Fiat,500X,Gasoline,Automatic,Demonstration,28190,150.0,2021,28,58,7,0,0,10
50,Volkswagen,T-Roc,Gasoline,Automatic,Pre-registered,31900,150.0,2021,72,701,7,0,3,10
50,Audi,Q2,Gasoline,Automatic,Pre-registered,31900,150.0,2021,7,583,7,0,3,10
1590,BMW,116,Gasoline,Automatic,Demonstration,32980,109.0,2021,8,3,7,0,0,10
50,Volkswagen,T-Roc,Gasoline,Automatic,Pre-registered,32990,150.0,2021,72,701,7,0,3,10
50,Jaguar,E-Pace,Electric/Gasoline,Automatic,Pre-registered,37900,160.0,2021,35,309,5,0,3,10
2150,MINI,Cooper SE,Electric/Gasoline,Automatic,Demonstration,41980,220.0,2021,44,272,5,0,0,10
50,Jaguar,E-Pace,Gasoline,Automatic,Pre-registered,42600,200.0,2021,35,309,7,0,3,10
50,Jaguar,E-Pace,Electric/Gasoline,Automatic,Pre-registered,42900,160.0,2021,35,309,5,0,3,10
2250,BMW,i3,Electric,Automatic,Demonstration,43090,102.0,2021,8,831,3,0,0,10
50,Alfa,Romeo Stelvio,Gasoline,Automatic,Pre-registered,45490,280.0,2021,3,628,7,0,3,10
50,Alfa,Romeo Stelvio,Gasoline,Automatic,Pre-registered,45990,280.0,2021,3,628,7,0,3,10
50,Alfa,Romeo Stelvio,Gasoline,Automatic,Pre-registered,46500,280.0,2021,3,628,7,0,3,10
1100,Volkswagen,Polo,Gasoline,Manual,Demonstration,17950,95.0,2021,72,566,7,1,0,10
1100,Volkswagen,Polo,Gasoline,Manual,Demonstration,17950,95.0,2021,72,566,7,1,0,10
1100,Volkswagen,Polo,Gasoline,Manual,Demonstration,17950,95.0,2021,72,566,7,1,0,10
5,Fiat,500,Gasoline,Manual,Pre-registered,17959,69.0,2021,28,54,7,1,3,10
10,Kia,Picanto,Gasoline,Manual,Demonstration,17970,101.0,2021,37,563,7,1,0,10
5,SEAT,Arona,Gasoline,Manual,New,17990,95.0,2021,63,129,7,1,2,10
15,Hyundai,i20,Electric/Gasoline,Manual,Pre-registered,17990,101.0,2021,31,830,5,1,3,10
15,Hyundai,i20,Electric/Gasoline,Manual,Pre-registered,17990,101.0,2021,31,830,5,1,3,10
15,Hyundai,i20,Electric/Gasoline,Manual,Pre-registered,17990,101.0,2021,31,830,5,1,3,10
15,Hyundai,i20,Electric/Gasoline,Manual,Pre-registered,17990,101.0,2021,31,830,5,1,3,10
15,Hyundai,i20,Electric/Gasoline,Manual,Pre-registered,17990,101.0,2021,31,830,5,1,3,10
15,Hyundai,i20,Electric/Gasoline,Manual,Pre-registered,17990,101.0,2021,31,830,5,1,3,10
50,Renault,Clio,Gasoline,Manual,Used,17990,101.0,2021,61,241,7,1,4,10
8,Skoda,Fabia,Gasoline,Manual,Pre-registered,17990,95.0,2021,64,333,7,1,3,10
5,SEAT,Arona,Gasoline,Manual,New,17990,95.0,2021,63,129,7,1,2,10
99,Fiat,Doblo,Diesel,Manual,Pre-registered,17990,120.0,2021,28,291,2,1,3,10
50,Volkswagen,Polo,Gasoline,Manual,Pre-registered,18150,95.0,2021,72,566,7,1,3,10
4000,Volkswagen,Polo,Gasoline,Manual,Used,18390,80.0,2021,72,566,7,1,4,10
5,Fiat,500,Gasoline,Manual,Pre-registered,18429,69.0,2021,28,54,7,1,3,10
1100,Volkswagen,Polo,Gasoline,Manual,Demonstration,18450,95.0,2021,72,566,7,1,0,10
100,Opel,Corsa,Gasoline,Manual,Pre-registered,17489,101.0,2021,54,274,7,1,3,10
390,Mazda,2,Gasoline,Automatic,Used,17490,90.0,2021,47,12,7,0,4,10
50,Opel,Crossland X,Gasoline,Manual,Pre-registered,17950,83.0,2021,54,279,7,1,3,10
100,Hyundai,i30,Diesel,Manual,Pre-registered,17977,116.0,2021,31,832,2,1,3,10
100,Opel,Mokka,Gasoline,Manual,Pre-registered,17977,101.0,2021,54,517,7,1,3,10
400,Opel,Mokka,Gasoline,Manual,Pre-registered,17977,101.0,2021,54,517,7,1,3,10
400,Opel,Mokka,Gasoline,Manual,Pre-registered,17977,101.0,2021,54,517,7,1,3,10
400,Opel,Mokka,Gasoline,Manual,Pre-registered,17977,101.0,2021,54,517,7,1,3,10
50,Opel,Mokka,Gasoline,Manual,Pre-registered,17977,101.0,2021,54,517,7,1,3,10
100,Hyundai,i30,Diesel,Manual,Pre-registered,18977,116.0,2021,31,832,2,1,3,10
50,Opel,Combo,Gasoline,Manual,Pre-registered,19544,110.0,2021,54,244,7,1,3,10
50,Ford,Focus,Gasoline,Manual,Pre-registered,19777,125.0,2021,29,338,7,1,3,10
50,Ford,Focus,Gasoline,Manual,Pre-registered,19777,125.0,2021,29,338,7,1,3,10
50,Opel,Combo,Gasoline,Manual,Pre-registered,19789,110.0,2021,54,244,7,1,3,10
50,Opel,Combo,Gasoline,Manual,Pre-registered,19789,110.0,2021,54,244,7,1,3,10
999,Renault,Clio,Gasoline,Manual,Demonstration,19960,91.0,2021,61,241,7,1,0,10
100,Ford,Focus,Gasoline,Manual,Pre-registered,19991,125.0,2021,29,338,7,1,3,10
100,Ford,Focus,Gasoline,Manual,Pre-registered,20381,125.0,2021,29,338,7,1,3,10
100,Ford,Focus,Gasoline,Manual,Pre-registered,20448,125.0,2021,29,338,7,1,3,10
100,Ford,Puma,Gasoline,Manual,Pre-registered,20949,125.0,2021,29,579,7,1,3,10
50,Skoda,Fabia,Gasoline,Automatic,Used,17480,95.0,2021,64,333,7,0,4,10
100,Renault,Kangoo,Diesel,Manual,Pre-registered,17780,95.0,2021,61,452,2,1,3,10
2355,Citroen,C3,Gasoline,Automatic,Used,17850,110.0,2021,16,180,7,0,4,10
50,Skoda,Fabia,Gasoline,Automatic,Used,17870,95.0,2021,64,333,7,0,4,10
600,Hyundai,i20,Gasoline,Automatic,Demonstration,17995,101.0,2021,31,830,7,0,0,10
1750,Opel,Corsa,Gasoline,Automatic,Used,18450,101.0,2021,54,274,7,0,4,10
0,Skoda,Kamiq,Gasoline,Manual,Pre-registered,18490,95.0,2021,64,451,7,1,3,10
4,Skoda,Kamiq,Gasoline,Manual,Pre-registered,18490,95.0,2021,64,451,7,1,3,10
150,Skoda,Fabia,Gasoline,Manual,Pre-registered,18939,95.0,2021,64,333,7,1,3,10
50,Skoda,Fabia,Gasoline,Automatic,Used,18940,95.0,2021,64,333,7,0,4,10
500,Dacia,Duster,Diesel,Manual,Demonstration,19180,116.0,2021,22,296,2,1,0,10
5,Hyundai,i20,Gasoline,Automatic,Demonstration,19211,101.0,2021,31,830,7,0,0,10
4,Skoda,Kamiq,Gasoline,Manual,Pre-registered,19490,110.0,2021,64,451,7,1,3,10
4,Skoda,Kamiq,Gasoline,Manual,Pre-registered,19490,110.0,2021,64,451,7,1,3,10
3020,Hyundai,i20,Gasoline,Manual,Demonstration,19495,101.0,2021,31,830,7,1,0,10
50,Volkswagen,Polo,Gasoline,Automatic,Used,19640,95.0,2021,72,566,7,0,4,10
20,Ford,Transit Connect,Gasoline,Manual,Used,19985,101.0,2021,29,742,7,1,4,10
10,Hyundai,i20,Electric/Gasoline,Automatic,Pre-registered,19990,101.0,2021,31,830,5,0,3,10
100,Renault,Clio,Gasoline,Manual,Pre-registered,20080,91.0,2021,61,241,7,1,3,10
1100,Volkswagen,Polo,Gasoline,Manual,Demonstration,17950,95.0,2021,72,566,7,1,0,10
1100,Volkswagen,Polo,Gasoline,Manual,Demonstration,17950,95.0,2021,72,566,7,1,0,10
5,SEAT,Arona,Gasoline,Manual,New,17990,95.0,2021,63,129,7,1,2,10
99,Fiat,Doblo,Diesel,Manual,Pre-registered,17990,120.0,2021,28,291,2,1,3,10
0,Dacia,Duster,Gasoline,Manual,Pre-registered,18080,131.0,2021,22,296,7,1,3,10
1100,Volkswagen,Polo,Gasoline,Manual,Demonstration,18450,95.0,2021,72,566,7,1,0,10
1500,Renault,Kangoo,Diesel,Manual,Demonstration,18780,116.0,2021,61,452,2,1,0,10
15,Volkswagen,Polo,Gasoline,Automatic,Pre-registered,18980,95.0,2021,72,566,7,0,3,10
1100,Volkswagen,Polo,Gasoline,Automatic,Demonstration,19750,95.0,2021,72,566,7,0,0,10
1100,Volkswagen,Polo,Gasoline,Automatic,Demonstration,19750,95.0,2021,72,566,7,0,0,10
1100,Volkswagen,Polo,Gasoline,Automatic,Demonstration,19950,95.0,2021,72,566,7,0,0,10
1100,Volkswagen,Polo,Gasoline,Automatic,Demonstration,19950,95.0,2021,72,566,7,0,0,10
99,Fiat,Doblo,Diesel,Manual,Pre-registered,19990,105.0,2021,28,291,2,1,3,10
2500,Renault,Megane,Gasoline,Manual,Demonstration,20880,140.0,2021,61,508,7,1,0,10
4500,Renault,Megane,Gasoline,Manual,Demonstration,21380,140.0,2021,61,508,7,1,0,10
99,Abarth,595 Turismo,Gasoline,Manual,Pre-registered,22490,165.0,2021,1,73,7,1,3,10
5,SEAT,Arona,Gasoline,Automatic,New,22690,110.0,2021,63,129,7,0,2,10
3000,Renault,Megane,Gasoline,Manual,Demonstration,22980,140.0,2021,61,508,7,1,0,10
99,Jeep,Renegade,Gasoline,Automatic,Pre-registered,22990,150.0,2021,36,616,7,0,3,10
1,SEAT,Arona,Gasoline,Automatic,Pre-registered,22999,150.0,2021,63,129,7,0,3,10
50,Opel,Mokka,Gasoline,Manual,Pre-registered,20977,131.0,2021,54,517,7,1,3,10
50,Opel,Mokka,Gasoline,Manual,Pre-registered,20977,131.0,2021,54,517,7,1,3,10
50,Opel,Mokka,Gasoline,Manual,Pre-registered,20977,131.0,2021,54,517,7,1,3,10
50,Skoda,Karoq,Gasoline,Manual,Pre-registered,21450,110.0,2021,64,456,7,1,3,10
50,Opel,Combo,Diesel,Manual,Pre-registered,21551,102.0,2021,54,244,2,1,3,10
500,Nissan,Juke,Gasoline,Manual,Demonstration,21590,114.0,2021,53,445,7,1,0,10
